latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
65.60923,-156.68942,346.26,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.99,6.01,D
65.60938,-156.70035,367,0.47,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,299.06,6.01,D
65.60954,-156.71126,326.24,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.87,3.5,D
65.61508,-156.67827,335.42,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.82,8.14,D
65.61523,-156.68904,326.3,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,297,6.01,D
65.62109,-156.6778,328.45,0.47,0.64,2025-07-04,18,N,VIIRS,l,2.0NRT,300.96,5.78,D
65.62124,-156.68852,325.53,0.47,0.64,2025-07-04,18,N,VIIRS,l,2.0NRT,299.68,4.7,D
65.6391,-156.67523,329.75,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.67,6.95,D
65.63924,-156.68591,349.41,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.55,8.28,D
65.63938,-156.69653,336.88,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.81,8.28,D
65.63952,-156.70717,367,0.47,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,297.2,13.23,D
65.63966,-156.7178,356.89,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,294.76,13.23,D
65.63994,-156.73904,351.17,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.76,15.68,D
65.64007,-156.74948,349.01,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,295.41,6,D
65.6402,-156.75995,335.19,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,294.57,6,D
65.64041,-156.68323,348.74,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.52,8.97,D
65.64059,-156.69388,344.35,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,297.92,11.26,D
65.64075,-156.70453,346.63,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.43,11.26,D
65.64092,-156.71518,367,0.47,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,297.07,19.11,D
65.64127,-156.73648,343.15,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.17,7.06,D
65.64143,-156.74693,354.88,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,295.05,7.06,D
65.64159,-156.75739,331.01,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,293.53,4.28,D
66.59525,-154.60771,326.46,0.53,0.67,2025-07-04,18,N,VIIRS,l,2.0NRT,300.69,2.68,D
66.76644,-153.90671,350.89,0.55,0.68,2025-07-04,18,N,VIIRS,n,2.0NRT,301.24,8.17,D
66.76727,-153.93118,334.01,0.55,0.68,2025-07-04,18,N,VIIRS,n,2.0NRT,301.34,17.51,D
66.76772,-153.94502,326.42,0.55,0.68,2025-07-04,18,N,VIIRS,l,2.0NRT,299.58,13.88,D
66.77368,-153.92986,355.46,0.55,0.68,2025-07-04,18,N,VIIRS,n,2.0NRT,298.95,17.51,D
66.77414,-153.94376,358,0.55,0.68,2025-07-04,18,N,VIIRS,n,2.0NRT,299.68,13.88,D
67.07401,-161.75554,367,0.34,0.56,2025-07-04,18,N,VIIRS,h,2.0NRT,297.08,5.6,D
67.07414,-161.74748,339.91,0.34,0.56,2025-07-04,18,N,VIIRS,n,2.0NRT,295.17,5.6,D
67.14952,-155.94754,333.71,0.49,0.65,2025-07-04,18,N,VIIRS,n,2.0NRT,295.59,7.12,D
67.1497,-155.95572,367,0.49,0.65,2025-07-04,18,N,VIIRS,h,2.0NRT,298.15,7.12,D
67.15563,-155.94705,367,0.49,0.65,2025-07-04,18,N,VIIRS,h,2.0NRT,295.79,13.91,D
67.15578,-155.95403,367,0.49,0.65,2025-07-04,18,N,VIIRS,h,2.0NRT,296.42,13.91,D
66.47561,77.17891,339.32,0.61,0.71,2025-07-04,28,N,VIIRS,n,2.0NRT,283.35,5.77,D
66.66205,80.46389,343.74,0.65,0.73,2025-07-04,28,N,VIIRS,n,2.0NRT,286.64,6.6,D
66.6677,80.45737,351.84,0.65,0.73,2025-07-04,28,N,VIIRS,n,2.0NRT,287.42,6.6,D
67.279,83.03825,347.63,0.63,0.72,2025-07-04,28,N,VIIRS,n,2.0NRT,286.68,7.91,D
67.28307,83.04153,336.6,0.63,0.72,2025-07-04,28,N,VIIRS,n,2.0NRT,286.68,7.22,D
67.54814,83.21394,367,0.61,0.71,2025-07-04,28,N,VIIRS,h,2.0NRT,295.06,37.93,D
67.58994,83.2457,326.61,0.6,0.71,2025-07-04,28,N,VIIRS,n,2.0NRT,285.88,3.35,D
67.64732,83.2231,328.87,0.6,0.71,2025-07-04,28,N,VIIRS,n,2.0NRT,286.66,2.96,D
68.07946,79.36294,344.87,0.52,0.66,2025-07-04,28,N,VIIRS,n,2.0NRT,285.85,8.83,D
68.40791,83.62657,351.74,0.54,0.68,2025-07-04,28,N,VIIRS,n,2.0NRT,286.03,6.41,D
68.51434,79.00333,349.48,0.48,0.65,2025-07-04,28,N,VIIRS,n,2.0NRT,287.23,16.12,D
68.51868,78.9976,357.16,0.48,0.65,2025-07-04,28,N,VIIRS,l,2.0NRT,287.83,16.12,D
68.52193,79.96548,358.11,0.49,0.65,2025-07-04,28,N,VIIRS,l,2.0NRT,287.18,10.24,D
68.5261,79.96021,349.75,0.49,0.65,2025-07-04,28,N,VIIRS,n,2.0NRT,288.25,12.41,D
70.99432,73.82391,330.17,0.59,0.53,2025-07-04,28,N,VIIRS,n,2.0NRT,277.31,6.15,D
70.99686,73.83698,340.43,0.59,0.53,2025-07-04,28,N,VIIRS,n,2.0NRT,283.63,6.15,D
71.17406,72.22815,334.82,0.56,0.51,2025-07-04,28,N,VIIRS,n,2.0NRT,280.9,5.16,D
71.25603,72.06789,325.8,0.55,0.51,2025-07-04,28,N,VIIRS,n,2.0NRT,279.47,2.56,D
61.75,66.95853,330.12,0.79,0.78,2025-07-04,30,N,VIIRS,n,2.0NRT,279.44,3.91,D
61.75036,66.96312,325.29,0.79,0.78,2025-07-04,30,N,VIIRS,n,2.0NRT,279.49,2.71,D
65.01078,56.92791,335.81,0.34,0.56,2025-07-04,30,N,VIIRS,n,2.0NRT,284.37,4.3,D
67.16743,56.707,338.17,0.52,0.5,2025-07-04,30,N,VIIRS,n,2.0NRT,284.86,7.08,D
